date,system,pattern,wins,losses,n,win_rate
2026-06-25,v3,sansan|telecho|P,235,197,432,54.40
2026-06-25,v3,telecho|niconico|P,670,709,1379,48.59
2026-06-25,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-25,v3,telecho|telecho|B,1810,1678,3488,51.89
2026-06-25,v4,bline|telecho|B,202,176,378,53.44
2026-06-25,v4,niconico|dragon|B,77,75,152,50.66
2026-06-25,v4,sansan|telecho|P,11,14,25,44.00
2026-06-25,v4,telecho|telecho|B,103,107,210,49.05
2026-06-26,v3,niconico|dragon|P,989,1026,2015,49.08
2026-06-26,v3,niconico|niconico|B,300,276,576,52.08
2026-06-26,v3,sansan|telecho|P,240,203,443,54.18
2026-06-26,v3,telecho|niconico|P,670,709,1379,48.59
2026-06-26,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-26,v3,telecho|telecho|B,1847,1733,3580,51.59
2026-06-26,v4,bline|telecho|B,297,258,555,53.51
2026-06-26,v4,niconico|dragon|B,126,110,236,53.39
2026-06-26,v4,sansan|telecho|P,16,20,36,44.44
2026-06-26,v4,telecho|telecho|B,141,162,303,46.53
2026-06-27,v3,sansan|telecho|P,241,210,451,53.44
2026-06-27,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-27,v3,telecho|telecho|B,1898,1795,3693,51.39
2026-06-27,v4,bline|telecho|B,397,341,738,53.79
2026-06-27,v4,niconico|dragon|B,162,141,303,53.47
2026-06-27,v4,sansan|telecho|P,17,27,44,38.64
2026-06-27,v4,telecho|telecho|B,192,224,416,46.15
2026-06-28,v3,sansan|telecho|P,247,222,469,52.67
2026-06-28,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-28,v3,telecho|telecho|B,1942,1855,3797,51.15
2026-06-28,v4,bline|telecho|B,478,430,908,52.64
2026-06-28,v4,niconico|dragon|B,203,169,372,54.57
2026-06-28,v4,sansan|telecho|P,23,39,62,37.10
2026-06-28,v4,telecho|telecho|B,236,283,519,45.47
2026-06-29,v3,sansan|telecho|P,249,226,475,52.42
2026-06-29,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-29,v3,telecho|telecho|B,1997,1916,3913,51.04
2026-06-29,v4,bline|telecho|B,555,499,1054,52.66
2026-06-29,v4,niconico|dragon|B,225,200,425,52.94
2026-06-29,v4,sansan|telecho|P,25,43,68,36.76
2026-06-29,v4,telecho|telecho|B,291,343,634,45.90
2026-06-30,v3,sansan|telecho|P,256,232,488,52.46
2026-06-30,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-30,v3,telecho|telecho|B,2055,1969,4024,51.07
2026-06-30,v4,bline|telecho|B,644,605,1249,51.56
2026-06-30,v4,niconico|dragon|B,257,238,495,51.92
2026-06-30,v4,sansan|telecho|P,32,49,81,39.51
2026-06-30,v4,telecho|telecho|B,349,396,745,46.85
2026-07-01,v3,niconico|dragon|B,15,14,29,51.72
2026-07-01,v3,niconico|nikoichi|B,5,2,7,71.43
2026-07-01,v3,niconico|nikoichi|P,4,8,12,33.33
2026-07-01,v3,sansan|telecho|P,260,236,496,52.42
2026-07-01,v3,telecho|nikoichi|P,68,63,131,51.91
2026-07-01,v3,telecho|telecho|B,2100,2011,4111,51.08
2026-07-01,v4,bline|telecho|B,727,682,1409,51.60
2026-07-01,v4,niconico|dragon|B,279,263,542,51.48
2026-07-01,v4,niconico|nikoichi|B,5,2,7,71.43
2026-07-01,v4,niconico|nikoichi|P,4,8,12,33.33
2026-07-01,v4,sansan|telecho|P,36,53,89,40.45
2026-07-01,v4,telecho|nikoichi|B,18,22,40,45.00
2026-07-01,v4,telecho|nikoichi|P,11,16,27,40.74
2026-07-01,v4,telecho|telecho|B,394,438,832,47.36
2026-07-02,v3,niconico|dragon|B,33,36,69,47.83
2026-07-02,v3,niconico|nikoichi|B,15,13,28,53.57
2026-07-02,v3,niconico|nikoichi|P,14,19,33,42.42
2026-07-02,v3,sansan|telecho|P,262,242,504,51.98
2026-07-02,v3,telecho|nikoichi|P,97,89,186,52.15
2026-07-02,v3,telecho|telecho|B,2132,2048,4180,51.00
2026-07-02,v4,bline|telecho|B,807,744,1551,52.03
2026-07-02,v4,niconico|dragon|B,297,285,582,51.03
2026-07-02,v4,niconico|nikoichi|B,15,13,28,53.57
2026-07-02,v4,niconico|nikoichi|P,14,19,33,42.42
2026-07-02,v4,sansan|telecho|P,38,59,97,39.18
2026-07-02,v4,telecho|nikoichi|B,41,42,83,49.40
2026-07-02,v4,telecho|nikoichi|P,40,41,81,49.38
2026-07-02,v4,telecho|telecho|B,426,475,901,47.28
2026-07-03,v3,niconico|dragon|B,49,54,103,47.57
2026-07-03,v3,niconico|nikoichi|B,20,25,45,44.44
2026-07-03,v3,niconico|nikoichi|P,21,23,44,47.73
2026-07-03,v3,sansan|telecho|P,267,245,512,52.15
2026-07-03,v3,telecho|nikoichi|P,126,111,237,53.16
2026-07-03,v3,telecho|telecho|B,2169,2094,4263,50.88
2026-07-03,v4,bline|telecho|B,900,818,1718,52.39
2026-07-03,v4,niconico|dragon|B,313,303,616,50.81
2026-07-03,v4,niconico|nikoichi|B,20,25,45,44.44
2026-07-03,v4,niconico|nikoichi|P,21,23,44,47.73
2026-07-03,v4,sansan|telecho|P,43,62,105,40.95
2026-07-03,v4,telecho|nikoichi|B,66,66,132,50.00
2026-07-03,v4,telecho|nikoichi|P,69,63,132,52.27
2026-07-03,v4,telecho|telecho|B,463,521,984,47.05
2026-07-04,v3,niconico|dragon|B,60,77,137,43.80
2026-07-04,v3,niconico|nikoichi|B,23,35,58,39.66
2026-07-04,v3,niconico|nikoichi|P,29,26,55,52.73
2026-07-04,v3,sansan|telecho|P,272,246,518,52.51
2026-07-04,v3,telecho|nikoichi|P,145,145,290,50.00
2026-07-04,v3,telecho|telecho|B,2209,2143,4352,50.76
2026-07-04,v4,bline|telecho|B,970,885,1855,52.29
2026-07-04,v4,niconico|dragon|B,324,326,650,49.85
2026-07-04,v4,niconico|nikoichi|B,23,35,58,39.66
2026-07-04,v4,niconico|nikoichi|P,29,26,55,52.73
2026-07-04,v4,sansan|telecho|P,48,63,111,43.24
2026-07-04,v4,telecho|nikoichi|B,94,101,195,48.21
2026-07-04,v4,telecho|nikoichi|P,88,97,185,47.57
2026-07-04,v4,telecho|telecho|B,503,570,1073,46.88
2026-07-05,v3,niconico|dragon|B,79,101,180,43.89
2026-07-05,v3,niconico|nikoichi|B,28,43,71,39.44
